variant,scale,bin_px,n,recall
p3,1.0,4-8,3,0.3333
p3,1.0,8-16,242,0.657
p3,1.0,16-32,880,0.7716
p3,1.0,32-inf,43,0.814
p3,0.75,4-8,17,0.3529
p3,0.75,8-16,739,0.724
p3,0.75,16-32,411,0.7981
p3,0.75,32-inf,1,0.0
p3,0.5,2-4,3,0.0
p3,0.5,4-8,242,0.2893
p3,0.5,8-16,880,0.5614
p3,0.5,16-32,43,0.7907
p3,0.35,2-4,30,0.0
p3,0.35,4-8,790,0.0899
p3,0.35,8-16,348,0.3563
p3,0.25,2-4,242,0.0
p3,0.25,4-8,880,0.0102
p3,0.25,8-16,43,0.186
p2,1.0,4-8,3,0.0
p2,1.0,8-16,242,0.6116
p2,1.0,16-32,880,0.7534
p2,1.0,32-inf,43,0.7907
p2,0.75,4-8,17,0.1765
p2,0.75,8-16,739,0.7321
p2,0.75,16-32,411,0.8029
p2,0.75,32-inf,1,0.0
p2,0.5,2-4,3,0.0
p2,0.5,4-8,242,0.3471
p2,0.5,8-16,880,0.625
p2,0.5,16-32,43,0.814
p2,0.35,2-4,30,0.0
p2,0.35,4-8,790,0.1278
p2,0.35,8-16,348,0.4598
p2,0.25,2-4,242,0.0
p2,0.25,4-8,880,0.025
p2,0.25,8-16,43,0.2791
