image,w,h,sqrt_area,best_iou,conf,hit
0000001_02999_d_0000005.jpg,19,38,26.87,0.6171,0.1724,1
0000001_02999_d_0000005.jpg,27,26,26.5,0.0,0.0,0
0000001_02999_d_0000005.jpg,27,49,36.37,0.6623,0.1722,1
0000001_02999_d_0000005.jpg,19,36,26.15,0.0,0.0,0
0000001_02999_d_0000005.jpg,17,37,25.08,0.8266,0.7194,1
0000001_02999_d_0000005.jpg,11,30,18.17,0.9046,0.4152,1
0000001_02999_d_0000005.jpg,14,31,20.83,0.8014,0.4859,1
0000001_02999_d_0000005.jpg,15,32,21.91,0.0,0.0,0
0000001_02999_d_0000005.jpg,14,24,18.33,0.0,0.0,0
0000001_02999_d_0000005.jpg,5,18,9.49,0.0,0.0,0
0000001_02999_d_0000005.jpg,16,32,22.63,0.0,0.0,0
0000001_02999_d_0000005.jpg,15,29,20.86,0.0,0.0,0
0000001_02999_d_0000005.jpg,16,26,20.4,0.0,0.0,0
0000001_02999_d_0000005.jpg,22,38,28.91,0.0,0.0,0
0000001_02999_d_0000005.jpg,13,26,18.38,0.0,0.0,0
0000001_02999_d_0000005.jpg,11,22,15.56,0.0,0.0,0
0000001_02999_d_0000005.jpg,10,22,14.83,0.0,0.0,0
0000001_02999_d_0000005.jpg,14,26,19.08,0.5475,0.3034,1
0000001_02999_d_0000005.jpg,12,23,16.61,0.5792,0.1959,1
0000001_02999_d_0000005.jpg,11,21,15.2,0.0,0.0,0
0000001_02999_d_0000005.jpg,12,26,17.66,0.709,0.2112,1
0000001_02999_d_0000005.jpg,14,23,17.94,0.0,0.0,0
0000001_02999_d_0000005.jpg,9,19,13.08,0.0,0.0,0
0000001_02999_d_0000005.jpg,8,19,12.33,0.0,0.0,0
0000001_02999_d_0000005.jpg,10,26,16.12,0.0,0.0,0
0000001_02999_d_0000005.jpg,9,21,13.75,0.0,0.0,0
0000001_02999_d_0000005.jpg,7,19,11.53,0.0,0.0,0
0000001_02999_d_0000005.jpg,9,24,14.7,0.0,0.0,0
0000001_02999_d_0000005.jpg,11,28,17.55,0.0,0.0,0
0000001_02999_d_0000005.jpg,7,13,9.54,0.2897,0.4396,0
0000001_02999_d_0000005.jpg,9,15,11.62,0.526,0.4637,1
0000001_02999_d_0000005.jpg,12,21,15.87,0.0,0.0,0
0000001_02999_d_0000005.jpg,10,19,13.78,0.0,0.0,0
0000001_02999_d_0000005.jpg,11,20,14.83,0.0,0.0,0
0000001_02999_d_0000005.jpg,12,16,13.86,0.0,0.0,0
0000001_02999_d_0000005.jpg,9,18,12.73,0.0,0.0,0
0000001_02999_d_0000005.jpg,12,18,14.7,0.0,0.0,0
0000001_02999_d_0000005.jpg,11,22,15.56,0.0,0.0,0
0000001_02999_d_0000005.jpg,11,22,15.56,0.0,0.0,0
0000001_03499_d_0000006.jpg,18,30,23.24,0.6858,0.1906,1
0000001_03499_d_0000006.jpg,21,29,24.68,0.0,0.0,0
0000001_03499_d_0000006.jpg,16,17,16.49,0.0,0.0,0
0000001_03499_d_0000006.jpg,16,20,17.89,0.0,0.0,0
0000001_03499_d_0000006.jpg,16,18,16.97,0.0,0.0,0
0000001_03499_d_0000006.jpg,17,16,16.49,0.0,0.0,0
0000001_03499_d_0000006.jpg,12,22,16.25,0.5265,0.4938,1
0000001_03499_d_0000006.jpg,13,22,16.91,0.5393,0.2269,1
0000001_03499_d_0000006.jpg,12,23,16.61,0.0,0.0,0
0000001_03499_d_0000006.jpg,13,22,16.91,0.0,0.0,0
0000001_03499_d_0000006.jpg,14,20,16.73,0.0,0.0,0
0000001_03499_d_0000006.jpg,13,21,16.52,0.0,0.0,0
0000001_03499_d_0000006.jpg,11,19,14.46,0.0,0.0,0
0000001_03499_d_0000006.jpg,13,17,14.87,0.0,0.0,0
0000001_03499_d_0000006.jpg,11,33,19.05,0.0,0.0,0
0000001_03499_d_0000006.jpg,8,18,12.0,0.0,0.0,0
0000001_03499_d_0000006.jpg,16,24,19.6,0.5123,0.5062,1
0000001_03499_d_0000006.jpg,13,21,16.52,0.2866,0.2864,0
0000001_03499_d_0000006.jpg,17,22,19.34,0.0,0.0,0
0000001_03499_d_0000006.jpg,14,22,17.55,0.4968,0.2062,0
0000001_03499_d_0000006.jpg,21,24,22.45,0.0,0.0,0
0000001_03499_d_0000006.jpg,23,40,30.33,0.5535,0.7096,1
0000001_03499_d_0000006.jpg,14,27,19.44,0.0,0.0,0
0000001_03499_d_0000006.jpg,15,28,20.49,0.291,0.1636,0
0000001_03499_d_0000006.jpg,11,26,16.91,0.4666,0.2322,0
0000001_03499_d_0000006.jpg,10,20,14.14,0.0,0.0,0
0000001_03499_d_0000006.jpg,12,17,14.28,0.0,0.0,0
