epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1071.84,1.99275,2.38072,1.3571,0.61656,0.17331,0.23639,0.08151,2.21895,2.38948,1.37841,0.000330709,0.000330709,0.0672598
2,1851.61,1.862,1.82032,1.28419,0.57945,0.3463,0.31462,0.12488,2.00278,1.96455,1.29033,0.000662241,0.000662241,0.034258
3,3651.94,1.80709,1.68712,1.26162,0.37606,0.36614,0.33668,0.1242,2.08053,1.64718,1.30056,0.000986587,0.000986587,0.00124905
4,4594.58,1.78237,1.62704,1.23673,0.62889,0.39456,0.36481,0.15069,1.88683,1.65611,1.21176,0.000975773,0.000975773,0.000975773
5,5833.02,1.74257,1.57456,1.21701,0.59138,0.38319,0.35368,0.13092,2.04107,1.83694,1.29239,0.000957205,0.000957205,0.000957205
6,6951.97,1.71707,1.5225,1.20766,0.67727,0.38903,0.38386,0.15489,1.95987,1.60961,1.261,0.000933683,0.000933683,0.000933683
7,8123.83,1.71036,1.47369,1.18231,0.67596,0.42405,0.43793,0.21109,1.64136,1.46057,1.13037,0.000905463,0.000905463,0.000905463
8,8947.68,1.68401,1.43099,1.1898,0.68791,0.41003,0.41403,0.18284,1.85239,1.55036,1.18738,0.000872857,0.000872857,0.000872857
9,9999.11,1.67406,1.43246,1.17308,0.7554,0.44294,0.48757,0.22351,1.7819,1.32399,1.16237,0.00083622,0.00083622,0.00083622
10,11343.4,1.6482,1.39673,1.1707,0.74017,0.45712,0.49469,0.23217,1.74408,1.26436,1.15556,0.000795954,0.000795954,0.000795954
11,12306.8,1.64421,1.38785,1.16658,0.76098,0.42708,0.46381,0.19271,1.86508,1.41743,1.22965,0.0007525,0.0007525,0.0007525
12,16080.7,1.64096,1.37701,1.15282,0.73942,0.47271,0.50729,0.25659,1.64847,1.29575,1.09803,0.000706335,0.000706335,0.000706335
13,17184.4,1.61544,1.32089,1.13497,0.77257,0.46014,0.50075,0.22342,1.83499,1.26175,1.16829,0.000657963,0.000657963,0.000657963
14,18304.9,1.6137,1.30029,1.1359,0.78205,0.46727,0.51792,0.23606,1.78332,1.36916,1.1745,0.000607916,0.000607916,0.000607916
15,19404.9,1.58288,1.26557,1.12619,0.8048,0.49275,0.55181,0.28274,1.58107,1.15979,1.07103,0.000556742,0.000556742,0.000556742
16,20853.1,1.57697,1.23736,1.12269,0.8037,0.48266,0.5567,0.28302,1.62654,1.18778,1.0939,0.000505,0.000505,0.000505
17,21963.1,1.57099,1.21255,1.11201,0.81675,0.52014,0.57514,0.29756,1.61542,1.11821,1.07431,0.000453258,0.000453258,0.000453258
18,23252.9,1.54109,1.19087,1.1102,0.83276,0.53367,0.58521,0.29538,1.63662,1.10444,1.07619,0.000402084,0.000402084,0.000402084
19,25217,1.54992,1.17,1.10731,0.81761,0.52832,0.58009,0.30295,1.60066,1.08864,1.06284,0.000352037,0.000352037,0.000352037
20,26263.8,1.54377,1.15307,1.09911,0.84039,0.53817,0.60562,0.31496,1.60395,1.07027,1.06222,0.000303665,0.000303665,0.000303665
21,26801.8,1.48009,1.14583,1.10119,0.82989,0.53223,0.59205,0.31463,1.56619,1.0851,1.05617,0.0002575,0.0002575,0.0002575
22,27622.9,1.4615,1.08924,1.09329,0.84273,0.55124,0.60856,0.31966,1.58522,1.01292,1.05662,0.000214046,0.000214046,0.000214046
23,28698.9,1.44753,1.05036,1.07809,0.87392,0.53793,0.61334,0.33425,1.54275,1.00039,1.04316,0.00017378,0.00017378,0.00017378
24,29608.1,1.44078,1.03085,1.08037,0.87388,0.54882,0.62422,0.32856,1.56693,0.98296,1.0471,0.000137143,0.000137143,0.000137143
25,30098.5,1.42359,1.00401,1.0699,0.85741,0.55765,0.6194,0.33026,1.55497,0.97685,1.03948,0.000104537,0.000104537,0.000104537
26,30620.4,1.42941,1.00131,1.07001,0.8723,0.55269,0.6241,0.33579,1.54675,0.96995,1.03816,7.63174e-05,7.63174e-05,7.63174e-05
27,31050.6,1.42124,0.99546,1.06494,0.86585,0.55746,0.62272,0.33756,1.53651,0.95601,1.03223,5.2795e-05,5.2795e-05,5.2795e-05
28,31895.3,1.41374,0.98661,1.06639,0.86315,0.55422,0.62426,0.34085,1.53635,0.95385,1.03605,3.4227e-05,3.4227e-05,3.4227e-05
29,32358.2,1.40581,0.98141,1.06151,0.8726,0.56295,0.6301,0.33986,1.55648,0.94936,1.04508,2.08169e-05,2.08169e-05,2.08169e-05
30,32732.1,1.41458,0.97412,1.06129,0.86833,0.56449,0.6305,0.34508,1.52371,0.93706,1.0303,1.27117e-05,1.27117e-05,1.27117e-05
