epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1286.6,1.90796,1.34207,1.0265,0.67949,0.41776,0.42565,0.1973,2.48449,1.90634,0.99774,0.000332757,0.000332757,0.0670571
2,2170.32,1.91131,1.33711,1.01766,0.74622,0.42893,0.47519,0.22402,2.45707,1.78721,0.98849,0.00066349,0.00066349,0.0340545
3,2869.95,1.91303,1.33431,1.01923,0.66048,0.29333,0.30194,0.12801,2.4087,1.96675,0.99001,0.000983881,0.000983881,0.00104155
4,3576.26,1.90396,1.34625,1.02254,0.72969,0.3722,0.40919,0.20839,2.6556,1.96228,1.03932,0.000965239,0.000965239,0.000965239
5,4474.73,1.91249,1.34045,1.01738,0.79219,0.12806,0.11774,0.03938,2.67928,2.42497,1.02821,0.000938772,0.000938772,0.000938772
6,5238.47,1.90557,1.31747,1.01808,0.72986,0.40116,0.42714,0.19831,2.90463,2.03397,1.07582,0.000905463,0.000905463,0.000905463
7,6025.63,1.89594,1.30395,1.01799,0.65702,0.30685,0.30847,0.13327,2.59591,1.97514,0.99914,0.000865839,0.000865839,0.000865839
8,6823.26,1.88109,1.2908,1.00795,0.76115,0.44946,0.49482,0.24281,2.49112,1.85134,0.98553,0.000820525,0.000820525,0.000820525
9,7786.63,1.87869,1.27209,1.00965,0.71161,0.37395,0.40912,0.18987,2.54289,1.83564,0.99478,0.000770234,0.000770234,0.000770234
10,8941.45,1.86687,1.2577,1.00445,0.76164,0.45111,0.52202,0.25554,2.40081,1.73818,0.97945,0.000715761,0.000715761,0.000715761
11,9817.33,1.87276,1.26359,1.00741,0.76774,0.44338,0.50373,0.2478,2.64769,1.74281,1.00926,0.000657963,0.000657963,0.000657963
12,10603.1,1.86378,1.25087,1.00666,0.77283,0.4554,0.50173,0.21981,2.41643,1.72229,0.9849,0.000597754,0.000597754,0.000597754
13,11409.5,1.86178,1.24165,1.00342,0.80667,0.47134,0.53668,0.2579,2.25239,1.65134,0.95835,0.000536081,0.000536081,0.000536081
14,12187.5,1.83956,1.2079,1.00081,0.79101,0.46536,0.56334,0.24614,2.44006,1.69605,0.99131,0.000473919,0.000473919,0.000473919
15,13025.8,1.83492,1.1928,0.99295,0.77564,0.47664,0.53219,0.26068,2.60079,1.67242,0.99948,0.000412246,0.000412246,0.000412246
16,13790.3,1.7924,1.1792,1.00629,0.79237,0.49169,0.57644,0.26649,2.2933,1.57491,0.96887,0.000352037,0.000352037,0.000352037
17,14577.5,1.77285,1.14665,0.99843,0.79661,0.48983,0.58581,0.2867,2.31588,1.56068,0.96941,0.000294239,0.000294239,0.000294239
18,15393.8,1.76695,1.13343,0.9953,0.80312,0.49697,0.63132,0.33987,2.31998,1.55608,0.9559,0.000239766,0.000239766,0.000239766
19,16137.2,1.74986,1.11323,0.99138,0.82544,0.49604,0.60457,0.30587,2.35264,1.55388,0.96507,0.000189475,0.000189475,0.000189475
20,16901.7,1.75535,1.09995,0.98742,0.58251,0.61922,0.61708,0.32494,2.35419,1.53876,0.96296,0.000144161,0.000144161,0.000144161
21,17653.3,1.7373,1.09239,0.98681,0.82703,0.50129,0.63219,0.32726,2.3115,1.51781,0.96027,0.000104537,0.000104537,0.000104537
22,18399.5,1.73288,1.08644,0.98625,0.81909,0.51196,0.64885,0.33677,2.31466,1.49297,0.95901,7.12282e-05,7.12282e-05,7.12282e-05
23,19152.5,1.733,1.07788,0.98575,0.82334,0.50607,0.63018,0.33573,2.36347,1.52736,0.9659,4.47606e-05,4.47606e-05,4.47606e-05
24,19922.5,1.72239,1.07067,0.98365,0.62195,0.64543,0.66505,0.3554,2.32172,1.51862,0.96078,2.55513e-05,2.55513e-05,2.55513e-05
25,20760.9,1.71173,1.05957,0.9802,0.6397,0.64133,0.65554,0.34869,2.32389,1.51288,0.95937,1.39032e-05,1.39032e-05,1.39032e-05
