epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,999.496,2.01556,1.63905,1.06465,0.60662,0.33374,0.32861,0.15039,2.60717,2.27731,1.02405,0.000332757,0.000332757,0.0670571
2,1949.25,2.01631,1.58285,1.0515,0.67001,0.34206,0.36705,0.17045,2.48499,2.13413,0.9946,0.000662031,0.000662031,0.034053
3,2901.32,2.01196,1.54995,1.05227,0.6421,0.35489,0.3734,0.16066,2.53885,1.91336,1.02084,0.00097521,0.00097521,0.00103288
4,3987.08,1.99144,1.52871,1.05193,0.58229,0.33052,0.32277,0.14596,2.8899,2.15455,1.06942,0.000946048,0.000946048,0.000946048
5,5058.6,1.99576,1.52225,1.04441,0.68355,0.35926,0.38249,0.16753,2.50146,1.88593,1.00899,0.000905463,0.000905463,0.000905463
6,6017.95,1.97898,1.47579,1.03815,0.7357,0.40198,0.4368,0.19226,2.53565,1.8476,1.00111,0.000855018,0.000855018,0.000855018
7,6982.19,1.96186,1.44187,1.0381,0.70634,0.37392,0.40864,0.18397,2.80313,1.94555,1.03119,0.000795954,0.000795954,0.000795954
8,7921.12,1.94197,1.4111,1.0276,0.73939,0.41716,0.46538,0.22675,2.48521,1.82865,0.989,0.000729725,0.000729725,0.000729725
9,8984.81,1.93227,1.38219,1.02653,0.73522,0.41511,0.46259,0.22058,2.43997,1.73523,0.98669,0.000657963,0.000657963,0.000657963
10,10264.8,1.91275,1.35871,1.01898,0.76267,0.43678,0.49231,0.2391,2.46457,1.74609,0.98551,0.000582435,0.000582435,0.000582435
11,11179.4,1.87284,1.35112,1.03114,0.73005,0.45753,0.48367,0.22863,2.347,1.6985,0.97498,0.000505,0.000505,0.000505
12,12062.2,1.85198,1.3067,1.02746,0.74644,0.4328,0.48109,0.22744,2.50327,1.80479,0.99983,0.000427565,0.000427565,0.000427565
13,12939.3,1.82673,1.26285,1.01691,0.76047,0.46226,0.50334,0.23786,2.48584,1.67908,0.98713,0.000352037,0.000352037,0.000352037
14,13819.8,1.81609,1.23685,1.01025,0.79484,0.46829,0.52981,0.25204,2.31353,1.59551,0.96558,0.000280275,0.000280275,0.000280275
15,14691.9,1.80501,1.21414,1.0097,0.78957,0.47983,0.53159,0.24996,2.37144,1.60525,0.97704,0.000214046,0.000214046,0.000214046
16,15594.3,1.78903,1.19227,1.00048,0.8104,0.48668,0.54555,0.24662,2.31906,1.60806,0.97201,0.000154982,0.000154982,0.000154982
17,18739,1.78309,1.1788,0.9977,0.80155,0.48809,0.54021,0.25516,2.35664,1.59469,0.97109,0.000104537,0.000104537,0.000104537
18,19360.5,1.7781,1.16523,0.99837,0.79728,0.4932,0.54375,0.26875,2.34992,1.57583,0.96851,6.39518e-05,6.39518e-05,6.39518e-05
19,19982.2,1.76777,1.16123,0.9953,0.80845,0.49842,0.55163,0.2771,2.33056,1.55976,0.96265,3.4227e-05,3.4227e-05,3.4227e-05
20,20624.3,1.75881,1.15081,0.99558,0.806,0.49624,0.55642,0.27429,2.36114,1.57037,0.9677,1.60943e-05,1.60943e-05,1.60943e-05
